id,pregunta,itc,opcion_1,opcion_2,opcion_3,respuesta_correcta
125,"¿Qué sistemas de protección podemos utilizar en un esquema TT para la protección contra contactos indirectos? (ITC-BT 24)",,"Únicamente dispositivos de protección de corriente diferencial residual.","Dispositivos de protección de corriente diferencial-residual, fusibles e interruptores automáticos.","Ninguna de las anteriores respuestas es correcta.","Dispositivos de protección de corriente diferencial-residual, fusibles e interruptores automáticos."
126,"Cuál de las siguientes afirmaciones relativas a la caja general de protección es la verdadera: (ITC-BT 13)",,"Será construida por la empresa suministradora bajo su inspección y verificación final.","Es propiedad y responsabilidad de la empresa suministradora.","Aloja los elementos de protección de la línea general de alimentación.","Aloja los elementos de protección de la línea general de alimentación."
127,"¿Cuál es el valor máximo de tensión que pueden adquirir las partes metálicas de los aparatos de utilización de una instalación eléctrica antes de que actúe la protección por corte automático de la alimentación? (ITC-BT 24)",,"24 V.","50 V.","12 V.","50 V."
128,"¿Cuál es el grado de corrosión mínimo exigido a los tubos instalados en montaje superficial en un local en el que hay manchas salinas permanentes en el techo? (ITC-BT 30)",,"4.","2.","3.","4."
129,"¿De qué trata la ITC-BT 32? (ITC-BT 32)",,"Trata de los requisitos particulares de instalación del equipo eléctrico de grúas, aparatos de elevación y transporte y similares como escaleras mecánicas, cintas transportadoras, puentes rodantes, cabrestantes, andamios eléctricos, etc.","Trata de las prescripciones de las instalaciones eléctricas de las piscinas, pediluvios y fuentes ornamentales.","Ninguna de las respuestas anteriores es correcta.","Trata de los requisitos particulares de instalación del equipo eléctrico de grúas, aparatos de elevación y transporte y similares como escaleras mecánicas, cintas transportadoras, puentes rodantes, cabrestantes, andamios eléctricos, etc."
130,"La potencia total de cálculo a considerar para el diseño de una línea de alumbrado exterior constituida por 25 lámparas de incandescencia de 450 W y por 47 tubos de descarga de 250 W será: (ITC-BT 09)",,"32.400 VA.","11.500 VA.","23 kVA.","32.400 VA."
131,"¿Qué se entiende por instalación de enlace? (ITC-BT 12)",,"Es la que comienza en el final de la acometida y termina en los dispositivos generales de mando y protección.","Es la que une la caja general de protección con el interruptor de control de potencia.","Es la que comienza en el final de la acometida y termina en los dispositivos individuales de mando y protección.","Es la que comienza en el final de la acometida y termina en los dispositivos generales de mando y protección."
132,"¿Cuál es el valor mínimo del factor de potencia de cada punto de luz de una instalación de alumbrado exterior? (ITC-BT 09)",,"0,80.","0,90.","0,85.","0,90."
133,"¿Pueden los fusibles del cuadro de baja tensión de un centro de transformación utilizarse como protección de la línea general de alimentación desempeñando la función de caja general de protección? (ITC-BT 13)",,"Sí, en el caso de edificios que tengan en su interior un centro de transformación para distribución en baja tensión, pero en este caso la propiedad y el mantenimiento de la protección serán de la empresa suministradora.","Sí, en el caso de edificios que tengan en su interior un centro de transformación para distribución en baja tensión, pero en este caso la propiedad y el mantenimiento de la protección serán del usuario.","Ninguna de las respuestas anteriores es correcta.","Sí, en el caso de edificios que tengan en su interior un centro de transformación para distribución en baja tensión, pero en este caso la propiedad y el mantenimiento de la protección serán del usuario."
134,"¿Es admitido para la protección contra cortocircuitos, que cuando se trate de circuitos derivados de uno principal, cada uno de estos circuitos derivados disponga de protección contra sobrecargas, mientras el dispositivo general pueda asegurar la protección contra cortocircuitos para todos los circuitos derivados? (ITC-BT 22)",,"Sí.","No.","Sólo si tiene además protección diferencial asociada.","Sí."
135,"¿Cómo se realizará el paso de los conductores de protección a través de paredes o techos? (ITC-BT 19)",,"Estarán protegidos por un tubo de adecuada resistencia mecánica.","Estarán protegidos por una canal protectora.","Ninguna de las respuestas anteriores es correcta.","Estarán protegidos por un tubo de adecuada resistencia mecánica."
136,"El neutro de una línea general de alimentación tiene una sección de 25 mm². ¿Qué sección máxima tendrán los conductores de fase? (ITC-BT 14)",,"25 mm².","50 mm².","Ambas respuestas son correctas.","50 mm²."
137,"¿Cuál será la tensión de contacto límite convencional máxima para el diseño de la protección contra contactos indirectos por corte automático de la alimentación? (ITC-BT 24)",,"24 V.","12 V.","50 V.","50 V."
138,"¿Cómo estará construido o situado un transformador que pueda estar al alcance de personas no especializadas? (ITC-BT 48)",,"Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 60 V, sean inaccesibles.","Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 50 V, sean inaccesibles.","Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 50 V, sean accesibles.","Estará construido o situado de manera, que sus arrollamientos y elementos bajo tensión, si ésta es superior a 50 V, sean inaccesibles."
139,"¿Cuál es la caída de tensión máxima permitida para líneas generales de alimentación destinadas a contadores totalmente centralizados? (ITC-BT 14)",,"0,5%.","1%.","1,5%.","0,5%."
140,"¿Es obligatorio realizar algún trámite ante la empresa distribuidora de energía para la instalación de un sistema de generación solar fotovoltaico e interconectado? (ITC-BT 40)",,"Sí, es obligatorio.","No es preciso.","Depende de la distancia del sistema de generación a la red de distribución pública.","Sí, es obligatorio."
141,"¿Qué sección mínima tendrá el conductor de protección a instalar en un circuito constituido por conductores de fase de 35 mm² colocados en el interior de un tubo empotrado? (ITC-BT 19)",,"16 mm².","25 mm².","35 mm².","16 mm²."
142,"¿Cómo serán los conductores activos de la instalación eléctrica de una vivienda? (ITC-BT 26)",,"De cobre, aislados y con una tensión asignada de 450/750 V, como máximo.","De cobre o de aluminio.","De cobre, aislados y con una tensión asignada de 450/750 V, como mínimo.","De cobre, aislados y con una tensión asignada de 450/750 V, como máximo."
143,"¿Cómo se efectuará la medida de aislamiento con relación a tierra? (ITC-BT 19)",,"Uniendo a tierra el polo positivo del generador y dejando, en principio, todos los receptores conectados y sus mandos en posición de 'paro', los dispositivos de interrupción se pondrán en posición de 'cerrado' y los cortacircuitos instalados como en servicio normal.","Uniendo a tierra el polo positivo del generador y dejando, en principio, todos los receptores desconectados y sus mandos en posición de 'marcha', los dispositivos de interrupción se pondrán en posición de 'cerrado' y los cortacircuitos instalados como en servicio normal.","Ninguna de las respuestas anteriores es correcta.","Uniendo a tierra el polo positivo del generador y dejando, en principio, todos los receptores desconectados y sus mandos en posición de 'marcha', los dispositivos de interrupción se pondrán en posición de 'cerrado' y los cortacircuitos instalados como en servicio normal."
144,"¿En qué condiciones una instalación está en situación controlada en relación con la protección contra sobretensiones? (ITC-BT 23)",,"Cuando una instalación se alimenta por una línea aérea con conductores desnudos.","Cuando una instalación se alimenta por una línea aérea con conductores aislados.","Las dos respuestas anteriores son correctas.","Cuando una instalación se alimenta por una línea aérea con conductores aislados."
145,"Indíquese la previsión de carga mínima de un edificio de concentración de industrias con 8 locales de 300 m² cada uno. (ITC-BT 10)",,"300 kW.","82,8 kW.","37,5 kW.","300 kW."
146,"¿Se puede instalar un interruptor diferencial por cada circuito o grupo de circuitos y prescindir del interruptor diferencial general? (ITC-BT 17)",,"No, siempre debe existir un interruptor diferencial general.","Sí, siempre que queden protegidos todos los circuitos.","No, excepto que se instale un dispositivo de protección contra sobretensiones.","Sí, siempre que queden protegidos todos los circuitos."
147,"¿Cuáles de los siguientes tipos de cables pueden utilizarse en un puerto marino si no están instalados bajo conducto? (ITC-BT 42 4.2 Canalizaciones)",,"Cables sin aislamiento.","Cables con armadura y cubierta de material termoplástico o elastómero.","Otros cables y materiales sin importar la protección mecánica.","Cables con armadura y cubierta de material termoplástico o elastómero."
148,"Indíquese la tensión asignada mínima de los conductores rígidos aislados instalados bajo tubo en montaje superficial en un local húmedo. (ITC-BT 30)",,"No puede utilizarse este sistema de instalación.","0,6/1 kV.","450/750 V.","450/750 V."
149,"¿Qué tensión debe resistir una instalación de 230 V si la sometemos durante 1 minuto al ensayo de rigidez dieléctrica? (ITC-BT 19)",,"1.460 V.","1.000 V.","1.500 V.","1.500 V."
150,"Una vivienda de 50 m², ¿puede tener grado de electrificación elevado? (ITC-BT 25)",,"No, porque con esta superficie le corresponde grado de electrificación básico.","Sí, sólo si tiene instalado el circuito adicional para aire acondicionado.","Sí, siempre que disponga de la instalación adecuada.","Sí, siempre que disponga de la instalación adecuada."
151,"¿Qué norma UNE determina las condiciones que deben cumplir los grados de protección proporcionados por las envolventes? (Código IP) (UNE 20324)",,"UNE 20460 - 5 - 52.","UNE-EN 50102.","UNE 20324.","UNE 20324."
152,"¿Qué desarrolla la norma UNE 20460? (UNE 20460)",,"Las instalaciones eléctricas de las redes de distribución.","Las instalaciones domóticas.","Las instalaciones eléctricas en edificios.","Las instalaciones eléctricas en edificios."
153,"Para realizar la verificación inicial, previa a la puesta en servicio de una instalación eléctrica, se deben cumplir los procedimientos desarrollados por la norma: (UNE 20460 - 6 - 61)",,"UNE 20460 - 3.","UNE 20460 - 5 - 523.","UNE 20460 - 6 - 61.","UNE 20460 - 6 - 61."
154,"¿Qué norma determina las características que deben cumplir las protecciones para garantizar la seguridad, en las instalaciones eléctricas en edificios? (UNE 20460 Parte 4)",,"UNE 20460 Parte 4.","UNE 20572 Parte 1.","UNE 50085 Parte 1.","UNE 20460 Parte 4."
155,"Al realizar la instalación eléctrica de un quirófano, para aplicar las medidas de protección se instalarán un transformador de aislamiento y un vigilante de aislamiento que cumplirán la norma: (UNE 20615)",,"UNE 20572 - 1.","UNE 20615.","UNE 20460 - 4 - 41.","UNE 20615."
156,"Los cables eléctricos de tensión asignada 0,6/1 kV con aislamiento y cubierta de policloruro de vinilo cumplirán la norma: (UNE 21123 - 1)",,"UNE 21123 - 2.","UNE 21031 - 9.","UNE 21123 - 1.","UNE 21123 - 1."
157,"La norma UNE 21030 se aplicará a: (UNE 21030-X)",,"Conductores de Uo/U 450/750 V para instalaciones interiores de viviendas.","Conductores cableados en haz para líneas de distribución y acometidas de tensión asignada 0,6/1kV.","Conductores cableados en haz para líneas de distribución y acometidas de Uo/U 450/750 V.","Conductores cableados en haz para líneas de distribución y acometidas de tensión asignada 0,6/1kV."
158,"Al realizar la instalación de una derivación individual, se han empleado conductores de tensión asignada 450/750 V, con aislamiento de compuesto termoplástico de baja emisión de humos y gases corrosivos, conforme a norma UNE: (UNE 211002)",,"UNE 21027 - 9.","UNE 21031 - 9.","UNE 211002.","UNE 211002."
159,"La norma UNE-EN 50102 determina: (UNE-EN 50102)",,"Los requisitos particulares para sistemas de tubos enterrados.","Los grados de protección proporcionados por las envolventes. (Código IP)","Los grados de protección proporcionados por las envolventes de materiales eléctricos contra los impactos mecánicos externos. (Código IK)","Los grados de protección proporcionados por las envolventes de materiales eléctricos contra los impactos mecánicos externos. (Código IK)"
